country,2021(JO-2020)
Albania,0.0608108108108108
Algeria,0.17852062588904694
Angola,0.612375533428165
Argentina,0.06792318634423897
Armenia,0.08783783783783783
Australia,0.016802987197724037
Austria,0.013513513513513513
Azerbaijan,0.16162873399715502
Bahamas,0.07014580369843526
Bangladesh,0.22297297297297294
Belarus,0.014491465149359882
Belgium,0.015469416785206256
Benin,0.7564011379800852
Bosnia and Herzegovina,0.03396159317211948
Botswana,0.2887624466571835
Brazil,0.10295163584637267
Bulgaria,0.042852062588904685
Burkina Faso,0.5999288762446656
Burundi,0.4630156472261735
Cameroon,0.6114864864864864
Canada,0.029427453769559027
Central African Republic,0.9377667140825034
Chile,0.045874822190611654
China,0.05627667140825034
Colombia,0.10295163584637267
Congo Dem. Rep.,0.72350640113798
Costa Rica,0.05725462304409672
Croatia,0.024893314366998577
Cuba,0.02862731152204836
Cyprus,0.005600995732574677
Czech Republic,0.014224751066856329
Denmark,0.020714793741109523
Djibouti,0.4425675675675675
Dominican Republic,0.226529160739687
Ecuador,0.10295163584637267
Egypt,0.1571834992887624
El Salvador,0.09495021337126598
Eritrea,0.30565433854907537
Estonia,0.0072012802275960176
Eswatini,0.4247866287339971
Ethiopia,0.4185633001422475
Fiji,0.202524893314367
Finland,0.0
France,0.019736842105263157
Gabon,0.35366287339971547
Georgia,0.06410028449502134
Germany,0.013335704125177808
Ghana,0.3732219061166429
Great Britain,0.023648648648648643
Greece,0.024182076813655758
Guatemala,0.19452347083926028
Guinea-Bissau,0.6559388335704124
Guyana,0.23719772403982928
Haiti,0.5199146514935988
Honduras,0.1305120910384068
Hong Kong China,0.0035561877667140817
Hungary,0.020981507823613084
Iceland,0.002933854907539118
India,0.27720483641536275
Indonesia,0.18741109530583214
Iran,0.10117354196301563
Iraq,0.20430298719772402
Ireland,0.012980085348506398
Israel,0.016091749644381224
Italy,0.010757467994310098
Ivory Coast,0.6559388335704124
Jamaica,0.10650782361308675
Japan,0.006845661450924608
Jordan,0.11895448079658605
Kazakhstan,0.0630334281650071
Kenya,0.31810099573257467
Kuwait,0.05058677098150781
Kyrgyzstan,0.14029160739687055
Latvia,0.018047652916073964
Lebanon,0.05085348506401137
Liberia,0.5670341394025604
Lithuania,0.019914651493598855
Luxembourg,0.0065789473684210505
Madagascar,0.39989331436699854
Malaysia,0.05040896159317211
Mali,0.7857396870554765
Mexico,0.09406116642958746
Moldova,0.11450924608819343
Mongolia,0.11539829302987195
Montenegro,0.007112375533428162
Morocco,0.16251778093883357
Mozambique,0.5705903271692745
Myanmar,0.36433143669985774
Namibia,0.3012091038406828
Netherlands,0.016891891891891886
New Zealand,0.035117354196301555
Nicaragua,0.13495732574679942
Nigeria,0.9733285917496443
North Korea,0.12873399715504977
Norway,0.006667852062588903
Oman,0.07628022759601705
Pakistan,0.567923186344239
Panama,0.11362019914651492
Papua New Guinea,0.37766714082503555
Paraguay,0.15629445234708392
Peru,0.10295163584637267
Philippines,0.22297297297297294
Poland,0.022137268847795155
Portugal,0.015825035561877664
Qatar,0.042763157894736836
Romania,0.04596372688477951
Russia,0.042496443812233275
Rwanda,0.25764580369843526
Saudi Arabia,0.04231863442389758
Senegal,0.33054765291607396
Serbia,0.031027738264580364
Sierra Leone,0.8444167852062588
Slovakia,0.03200568990042674
Slovenia,0.004711948790896156
Solomon Islands,0.1518492176386913
Somalia,0.9999999999999999
South Africa,0.26475817923186346
South Korea,0.011646514935988618
Spain,0.010935277382645802
Sri Lanka,0.046586059743954474
Sudan,0.4879089615931721
Suriname,0.14206970128022758
Sweden,0.008179231863442387
Switzerland,0.02035917496443812
Syria,0.10917496443812233
Tajikistan,0.26475817923186346
Tanzania,0.4105618776671408
Thailand,0.059832859174964434
Togo,0.5590327169274538
Trinidad and Tobago,0.139402560455192
Tunisia,0.12339971550497864
Turkey,0.069701280227596
Turkmenistan,0.3741109530583215
UAE,0.048453058321479364
USA,0.045519203413940244
Uganda,0.3572190611664296
Ukraine,0.05672119487908961
Uruguay,0.04889758179231862
Uzbekistan,0.16429587482219057
Venezuela,0.2114153627311522
Vietnam,0.16162873399715502
Zambia,0.4576813655761024
Zimbabwe,0.35988620199146515
